"Data inicio","Data fim","Assunto","Descrição","Local","Nome solicitante","Telefone solicitante"
"2026-05-18 16:30:00","2026-05-18 18:00:00","Tarde de Recreação para as crianças - Maio Laranja",NULL,"Praça Cel. Pacheco de Medeiros",NULL,NULL
"2026-05-19 19:00:00","2026-05-19 22:00:00","Festa Comunidade Santa Rita de Cássia",NULL,"Vila Santa Rita",NULL,NULL
"2026-05-20 13:00:00","2026-05-20 14:00:00","Reunião com a Adriana do Meio Ambiente",NULL,"Secretária Meio Ambiente",NULL,NULL
"2026-05-21 18:30:00","2026-05-21 21:00:00","Audiência Pública ",NULL,"Câmara ",NULL,NULL
"2026-05-21 09:00:00","2026-05-21 09:00:00","lembrar de verificar com a janaina do paulinho se a consulta deu certo",NULL,NULL,NULL,NULL
"2026-05-27 16:00:00","2026-05-27 18:00:00","Audiência Pública Prestação de Contas",NULL,"Câmara",NULL,NULL
"2026-05-20 09:00:00","2026-05-20 10:30:00","REUNIAO EDUARDO MARGE SOBRE PL 106",NULL,NULL,NULL,NULL
"2026-05-22 19:00:00","2026-05-22 21:00:00","FESTA NA IGREJA ",NULL,"VILA SANTA RITA",NULL,NULL
"2026-05-24 08:00:00","2026-05-24 10:00:00","CAPOEIRA E CONSCIÊNCIA",NULL,"HORTO FLORESTAL",NULL,NULL
"2026-05-26 08:00:00","2026-05-26 17:00:00","CONFERENCIA MUNICIPAL DE DIREITOS DAS CRIANÇAS E ADOLESCENTES",NULL,"TEATRO ZACARIAS MARQUES",NULL,NULL
"2026-05-28 18:30:00","2026-05-28 19:30:00","MOÇÕES DE APLAUSOS",NULL,"CAMARA MUNICIPAL DE MURIAE ",NULL,NULL
"2026-05-27 10:00:00","2026-05-27 10:30:00","CESTA CHEIA AMANHA DIA 28/15/2026 ",NULL,"GASPAR",NULL,NULL
"2026-05-30 19:00:00","2026-05-30 20:30:00","RESINHA SÃO JOSÉ DE ACHIENTA",NULL,"PLANALTO",NULL,NULL
"2026-05-20 18:30:00","2026-05-20 19:30:00","ESCUTA PUBLICA REGISTRO COMO PATRIMONIO IMATERIAL DO MUNICIPIO DE MURIAÉ",NULL,"TEATRO ZACARIA MARQUES",NULL,NULL
"2026-05-19 09:00:00","2026-05-19 10:00:00","REUNIÃO ALCEMAR SOBRE MURIAÉ PREV",NULL,"Gabinete ",NULL,NULL
"2026-05-26 07:00:00","2026-05-26 08:00:00","Consulta com Dermatologista",NULL,"Sesc",NULL,NULL
"2026-05-21 14:00:00","2026-05-21 17:00:00","REUNIÃO IVONETE",NULL,"CASA DA IVONETE",NULL,NULL
"2026-05-21 19:30:00","2026-05-21 20:30:00","LANÇAMENTO LIVRO VENDAVAL DE VIDRO",NULL,"BIBLIOTECA MUNICIPAL",NULL,NULL
"2026-05-25 17:00:00","2026-05-25 18:30:00","ABERTURA DO JEMG",NULL,"RODRIGÃO",NULL,NULL
"2026-05-21 08:30:00","2026-05-21 09:30:00","CAMINHADA FAÇA BONITO VERMELHO",NULL,"DA ESCOLA MUNICIPAL PARA O CRAS",NULL,NULL
"2026-05-28 08:00:00","2026-05-28 16:00:00","12º COLEGIADO DE SAUDE MENTAL MICROREGIOES MURIAÉ E UBÁ",NULL,"TEATRO ZACARIAS MARQUES",NULL,NULL
"2026-05-21 18:00:00","2026-05-21 19:00:00","FESTA DA FAMILIA ",NULL,"AEROPORTO",NULL,NULL
"2026-05-24 14:00:00","2026-05-24 15:00:00","ENCONTRO DE ACOLHIMENTO FAMILIARES DE PESSOAS LGBTQIA+",NULL,"HORTO FLORESTAL",NULL,NULL
"2026-05-22 14:00:00","2026-05-22 15:00:00","Abertura da Feagro - Sicoob",NULL,"Na parte de baixo da Exposição ",NULL,NULL
"2026-07-04 15:00:00","2026-07-04 19:00:00","Festa na roça ","
","Escola da Valdivino - Gaspar",NULL,NULL
"2026-06-20 14:00:00","2026-06-20 17:00:00","Arraiâ do Hexa ",NULL,"Escola Elza Rogério ",NULL,NULL
"2026-06-05 19:00:00","2026-06-05 23:30:00","Gastronomia na Serra - de 05 a 07 de Junho - ",NULL,"Pirapanema ",NULL,NULL
"2026-05-27 14:30:00","2026-05-27 16:00:00","REUNIAO MEIO AMBIENTE",NULL,"HORTO",NULL,NULL
"2026-05-29 19:00:00","2026-05-29 20:30:00","85 ANOS DA BIBLIOTECA MUNICIPAL",NULL,NULL,NULL,NULL
"2026-05-29 16:00:00","2026-05-29 17:30:00","TROCA DE FIGURINHAS NA PRAÇA",NULL,NULL,NULL,NULL
"2026-06-02 13:30:00","2026-06-02 15:00:00","REUNIÃO EDUCAÇÃO - CRISTINA",NULL,NULL,NULL,NULL
"2026-05-28 07:00:00","2026-05-28 08:00:00","Consulta dermatologista",NULL,"Sesc",NULL,NULL
"2026-05-30 19:00:00","2026-05-30 20:00:00","Aniversário Vó Augusta",NULL,"Rua presidente kennedy",NULL,NULL
"2026-06-01 10:00:00","2026-06-01 12:00:00","Formalização da candidatura de Misael Varella ao Senado",NULL,"Teatro Nobre - Faminas",NULL,NULL
"2026-06-16 13:00:00","2026-06-16 14:00:00","Mês de conscientização e combate à violência contra a pessoa idosa",NULL,"Teatro Zacarias Marques - Palestra com Jeanine Severino",NULL,NULL
"2026-06-03 17:30:00","2026-06-03 18:30:00","Inauguração Praça Gerson Carneiro Melo",NULL,"Cardoso de Melo ",NULL,NULL
"2026-06-09 07:00:00","2026-06-09 08:00:00","Obra da Prainha",NULL,NULL,NULL,NULL
"2026-06-09 11:00:00","2026-06-09 12:00:00","Rádio 96 Fm",NULL,NULL,NULL,NULL
"2026-06-10 07:00:00","2026-06-10 08:00:00","Gravar vídeo no Viva Vida",NULL,"Dia 14 doação de sangue",NULL,NULL
"2026-06-10 15:00:00","2026-06-10 16:00:00","Reunião com Sandro e Victor",NULL,"Gabinete",NULL,NULL
"2026-06-11 07:00:00","2026-06-11 08:00:00","Cesta Cheia",NULL,"Gaspar",NULL,NULL
"2026-06-11 13:30:00","2026-06-11 14:30:00","Reunião Comissão Dengue",NULL,"Sesc",NULL,NULL
"2026-06-13 10:00:00","2026-06-13 12:00:00","Arraiá do Stella Fideles",NULL,"Na quadra do Aeroporto",NULL,NULL
"2026-06-14 07:00:00","2026-06-14 08:00:00","Dia de Doação de Sangue",NULL,"Viva Vida",NULL,NULL
"2026-06-20 19:00:00","2026-06-20 20:00:00","Evento 1º Celebrare",NULL,"Sesc",NULL,NULL
"2026-06-23 19:00:00","2026-06-23 20:00:00","Bingo Beneficiente ",NULL,"Comunidade São João Batista",NULL,NULL
"2026-06-25 07:00:00","2026-06-25 08:00:00","Cesta Cheia",NULL,"Gaspar",NULL,NULL
"2026-06-25 19:00:00","2026-06-25 20:00:00","Comenda do Mérito Personalidade Rural José Antonio Pereira",NULL,NULL,NULL,NULL
"2026-06-26 09:00:00","2026-06-26 10:00:00","Comemoração dos Aniversários do 2º Trimestre",NULL,"Câmara",NULL,NULL
"2026-06-27 08:30:00","2026-06-27 09:30:00","Palestra Saúde da Mulher",NULL,"Igreja",NULL,NULL
"2026-06-27 13:00:00","2026-06-27 17:00:00","Aniversário Alessandra MInervina",NULL,"Rua Doutor Newton Rezende 475",NULL,NULL
"2026-06-27 19:30:00","2026-06-27 21:00:00","Bingo Amigos dos Animais",NULL,"Itamuri",NULL,NULL
"2026-06-28 06:00:00","2026-06-28 23:30:00","Dia Internacional do Orgulho LGBTQIA+",NULL,NULL,NULL,NULL
"2026-06-11 08:30:00","2026-06-11 11:00:00","Reunião com Muriaé Prev sobre a PL 102",NULL,"Plenário da Câmara",NULL,NULL
"2026-06-12 07:00:00","2026-06-12 14:00:00","Feira de Produtos",NULL,"Praça João Pinheiro",NULL,NULL
"2026-06-13 09:00:00","2026-06-13 10:30:00","Inauguração Ponte Joaquim Innocencio da Cunha",NULL,"Pedra Negra",NULL,NULL
"2026-06-11 13:30:00","2026-06-11 14:30:00","Visita técnica",NULL,"Escola Municipal Maria Aleluia Santa terezinha",NULL,NULL
"2026-06-11 16:00:00","2026-06-11 17:00:00","Quinta da prevenção",NULL,"Praça Coronel Tiburcio na Barra",NULL,NULL
"2026-06-13 08:00:00","2026-06-13 12:00:00","Muriaé Tech",NULL,"Praça João Pinheiro",NULL,NULL
"2026-06-15 18:00:00","2026-06-15 20:00:00","Bolsa Atleta /Paratleta de Muriaé",NULL,"Grande Hotel Muriahé",NULL,NULL
"2026-06-19 19:00:00","2026-06-19 21:00:00","Chá de Bebe do Conrado",NULL,"Espaço Comemore",NULL,NULL
"2026-07-02 12:30:00","2026-07-02 17:00:00","Encontro das mulheres rurais",NULL,"Sítio Corrego Serrano",NULL,NULL
"2026-06-15 14:30:00","2026-06-15 15:30:00","Visita Coopet",NULL,"Safira",NULL,NULL
"2026-06-21 17:00:00","2026-06-21 22:00:00","Rezinha no Planalto",NULL,"Igreja José de Anchieta",NULL,NULL
"2026-06-19 17:00:00","2026-06-19 18:00:00","Inauguração Capela Mortuária Joaquim Firmino Pedrosa",NULL,"Pirapanema",NULL,NULL
"2026-06-17 17:00:00","2026-06-17 18:00:00","Inauguração Capela Mortuária José Alencar ",NULL,"Itamuri",NULL,NULL
"2026-06-20 08:00:00","2026-06-20 17:00:00","Dia D de Multivacinação",NULL,"Todas Ubs",NULL,NULL
"2026-06-20 08:00:00","2026-06-20 12:00:00","Dia D Vacinação ",NULL,"Praça João Pinheiro ",NULL,NULL
"2026-06-20 14:00:00","2026-06-20 17:00:00","A Casa de Bambas-piquenique com Capoeira",NULL,"Lagoa da Gavea",NULL,NULL
"2026-07-11 08:00:00","2026-07-11 23:30:00","Cavalgada de Belizario",NULL,"Belizario",NULL,NULL
"2026-07-12 08:00:00","2026-07-12 23:30:00","Cavalgada de Belisario",NULL,"Belisario",NULL,NULL
"2026-06-29 09:30:00","2026-06-29 12:00:00","Solenidade São Paulo",NULL,"Paróquia São Paulo",NULL,NULL
"2026-07-04 18:00:00","2026-07-04 22:00:00","Feijoada da Apae",NULL,"AABB",NULL,NULL
"2026-07-06 08:00:00","2026-07-06 17:00:00","Curso o dia todo",NULL,"Câmara",NULL,NULL
"2026-07-07 08:00:00","2026-07-07 17:00:00","Curso o dia todo",NULL,"Câmara",NULL,NULL
"2026-07-08 08:00:00","2026-07-08 17:00:00","Curso o dia todo",NULL,"Câmara",NULL,NULL
"2026-07-09 07:00:00","2026-07-09 09:00:00","Cesta Cheia",NULL,"Gaspar",NULL,NULL
"2026-07-23 07:00:00","2026-07-23 09:00:00","Cesta Cheia",NULL,"Gaspar",NULL,NULL
